	Author	Ratings	Title	Description
965	MrsBMartin	5	Great device	I bought this device over a year ago and it never gets old!
966	SamD	5	Just Awesome!!	Awesome product, good product, overall nice product.
967	Anita	5	Just the best ever	I love love love this product make everything more easy in my tv time.
968	Norm	4	Great product!	Basically turns your non smart tv into a smart tv!
969	hamlet	5	Works well	I am a senior and this was pretty easy to install and download. It takes one hookup to the back of your tv. The instructions are simple and I`m enjoying streaming from my computer.
970	Cser306	5	Perfect buy	Easy to use, great quality, fair price. Nothing about this item is difficult or dislijable
971	Jeff	4	Just what we needed	Needed it to stream. Like being able to control it from my phone. Perfect for what I needed
972	Ktyler	4	So easy	This is easy to install and use. Works great to hook our tablet to an older model TV do the kids can watch downloaded movies together.
973	Trisharose	2	Followed instructions and still not working right	It was supposed to be easy to use but it wasn’t and so far, too difficult to get it to run smoothly.
974	Patsy	5	Like it	Use it all the time - mainly for the you tube videos
975	Drew	5	Easy to sync and use	Chromecast to cast things from my laptop onto my tv and it works great! The quality is perfect and its easy to use.
976	Lenny70	4	Works ok	Got this product with some gift cards that were about to expire. Streams nicely, nothing spectacular about it
977	Best	4	Nice	"Good to put your pictures on your tv.
 Definitely recommend it"
978	Lauriep	5	Great product to turn my older tv to a smart tv	Able to get Netflix and other streaming companies at a very reasonable price.
979	Senty	5	Great!	Wonderful product , easy plug and play. No tech capabilities required!
980	JBaba	5	Streams ESPN and Fox Sports and its great	The streaming is very smooth and the quality of the shows are great.
981	Sunsyne	5	Great	Love the option to stream and cast on to TV at a great rate
982	Yuri	5	Excellent	Excellent HD quality, very easy to install, high recommended.
983	note8	4	Great product but....	If it connected seamlessly to my newer android phone I would love this.
984	pogey	5	great streaming device	works perfectly with you tube tv. streams without a glitch
985	1234321	4	Functional Chromecast	Chromecast is great. Works with netflix and has no issues. Occasionally it doesn't connect the way it should but this can be fixed with unplugging it. Solid product on the market
986	Hanney	5	So cool!	It’s awesome! Definitely eliminated a smart tv! I didn’t want to spend so much on a smart TV to watch Netflix but now that this is purchased I can stream from my phone, and tablet!
987	Brunorm	5	Very good!	I Love it......great product I will buy again great!
988	DonZ	5	Great for streaming or mirroring	Works great for streaming to your tv. Easy to install and connect to WiFi. I would recommend the Google home app if you are using more than one Chromecast at a time.
989	ob1t	5	great product	Comcast was a great product to buy. The representative was very informative and helped pick the comcast
990	Shelby	5	Simple, Effective	We bought the Chromecast on a whim. (Been having trouble streaming Netflix due to WiFi lag.) Plugged in the Chromecast and started streaming, was very simple to use and the picture is perfect, doesn't lag at all. Been using it for 4 months now, never once had a problem!
991	Jeevan	5	Most affordable price	Bestbuy is the one best store to give quality products and best price
992	Drake	5	Makes casting simple	Purchased to view pictures and watch videos from phone and works perfect.
993	Menyawga	5	Does what it says	Wr have an apple to downstairs, but we got this for my mother in law since she uses an android phone. The chrome cast has been much better for her to use her content on the same TV. The lower price made it an easy second streamer.
994	Bfm14	5	Great product	"Fast and easy installation
High quality 
Great product for a great price."
995	Jmazock	5	Works incredibly well.	Hooked up to my Panasonic tv. Works well in conjunction with my google home.
996	Member	5	Great	Works great for all my streaming programs. Recommended
997	Mariah	5	Great device for a small tv	Great device for watching movies and tv shows without paying a high cable bill.
998	BigJohnStud16	5	Great upgrade	Had the gen 1 Chromecast and it worked well but was definitely slow at times. This new gen is much snappier and works more efficiently. It also responds to controls from your phone (such as pausing a video) without delay, which occurred some on the gen 1. As long as you know and understand the limitations that can come from a Chromecast versus other streaming products, I think you’ll be satisfied with this.
999	Rama	5	Nice one	Best price.excellent quality.good condition.thanyou
1000	Elephant	5	Great product	Works great all the time, provides myself and family console great entertainment! I love to take this to the hotel so the kids can watch videos from my phone to the tv.
1001	Siyi	4	Good	We bought this last Christmas. As we have Apple TVs at home I don’t see much plus from this product. In terms of quality it’s great
1002	MrPugs	5	Got it for when I was a road warrior	Worked great at the hotel allowed me to watch what I wanted
1003	Mimimaria	5	Enjoying my Google Chromecast	I am enjoying my Google Chromecast... My son said this would be easier for me, especially since I can operate straight from my phone....
1004	Jazzi	5	works great	works great needs better instructions but if you can work a camera you can figure it out
1005	Otter	5	Great way to enjoy my shows	I am pleased with my decision to purchase this product. I can watch my shows in silence in my bedroom which I couldn't do before because I don't have cable access.
1006	Bati	5	Just Great	This is a great way to turn every TV into a Smart TV!
1007	Best	5	Awesome	Great investment. Don't even need cable anymore it has everything
1008	Eddy	5	Great programming	Definitely recommend to everyone that loves music and tv
1009	LadyM	4	Great Google product	Works 99% of the time and responds well to the Google Home Assistant.
1010	MoniqueP	5	Ease of use is key	Seemlessly works with my Samsung, and streams perfectly, don’t need anything more fancy than this
1011	MaryInIL	5	Wow, great item!	What convenience, great item for any room in the house.
1012	Googlewifiyes	5	Cheap and simple	Allows me to turn my dumb tv into smart. Easy to setup and use. Misch faster than the gen1 Chromecast
1013	Steph	5	Excellent	I love this chrome cast! I can cozy up on the couch and watch my favorite shows!
1014	Ngheno625	5	Great portable device	I like the product. It is portable and work on any wifi. I use it with my Youtube TV subscription service. I think the quality is great and I haven't had any issues with my device.
